17,22,27,32,37,42,47,52,57,62,Points
0,0,0,0,0,0,0,0,0,0,0
2.6,2.7,2.8,2.8,2.8,2.5,2.3,2.3,2.3,2.3,0
---,---,---,---,---,---,---,---,---,---,1
2.7,2.8,2.9,2.9,2.9,2.6,2.4,2.4,2.4,2.4,2
---,---,---,---,---,---,---,---,---,---,3
2.8,2.9,3,3,3,2.7,2.5,2.5,2.5,2.5,4
---,---,---,---,---,---,---,---,---,---,5
2.9,3,3.1,3.1,3.1,2.8,2.6,2.6,2.6,2.6,6
---,---,---,---,---,---,---,---,---,---,7
3,3.1,3.2,3.2,3.2,2.9,2.7,2.7,2.7,2.7,8
---,---,---,---,---,---,---,---,---,---,9
---,---,---,---,---,---,---,---,---,---,10
3.1,3.2,3.3,3.3,3.3,3,2.8,---,2.8,2.8,11
---,---,---,---,---,---,---,2.8,---,---,12
---,---,---,---,---,---,---,---,---,---,13
3.2,3.3,3.4,3.4,3.4,3.1,2.9,---,2.9,2.9,14
---,---,---,---,---,---,---,---,---,---,15
---,---,---,---,---,---,---,---,---,---,16
---,---,---,---,---,---,---,2.9,---,---,17
3.3,3.4,3.5,3.5,3.5,3.2,3,---,3,3,18
---,---,---,---,---,---,---,---,---,---,19
---,---,---,---,---,---,---,---,---,---,20
---,---,---,---,---,---,3.1,---,---,---,21
---,3.5,3.6,3.6,---,3.3,---,---,---,---,22
---,---,---,---,---,---,---,---,---,---,23
3.4,---,---,---,3.6,---,3.2,3,3.1,3.1,24
---,---,---,---,---,---,---,---,---,---,25
---,---,---,---,---,---,---,---,---,---,26
---,3.6,3.7,3.7,---,3.4,---,---,---,---,27
---,---,---,---,---,---,3.3,---,---,---,28
---,---,---,---,---,---,---,---,---,---,29
---,---,---,---,---,---,---,---,---,---,30
---,---,---,---,---,---,---,---,---,---,31
3.5,---,---,---,3.7,---,---,3.1,---,---,32
---,---,---,---,---,---,---,---,---,---,33
---,---,3.8,3.8,---,3.5,3.4,---,3.2,3.2,34
---,3.8,---,---,---,---,---,---,---,---,35
---,---,---,---,---,---,---,---,---,---,36
3.6,---,---,---,3.8,---,---,3.2,---,---,37
---,---,---,---,---,---,---,---,---,---,38
---,---,---,---,---,---,---,---,---,---,39
---,---,---,---,---,---,---,---,---,---,40
---,---,---,---,---,---,---,---,---,---,41
---,---,---,---,---,3.6,---,---,---,---,42
---,---,---,---,---,---,---,---,---,---,43
3.7,3.8,3.9,3.9,3.9,---,3.5,3.3,3.3,3.3,44
---,---,---,---,---,---,---,---,---,---,45
---,---,---,---,---,---,---,---,---,---,46
---,---,---,---,---,3.7,---,---,---,---,47
---,---,---,---,---,---,---,---,---,---,48
---,---,---,---,---,---,---,---,---,---,49
---,---,---,---,---,---,---,---,---,---,50
---,---,---,---,---,---,---,---,---,---,51
---,---,4,---,---,---,---,---,---,---,52
---,---,---,---,---,---,---,---,---,---,53
3.8,3.9,---,4,4,3.8,3.6,3.4,---,---,54
---,---,---,---,---,---,---,---,---,---,55
---,---,---,---,---,---,---,---,---,---,56
---,---,4.1,---,---,---,---,---,---,---,57
---,---,---,---,---,---,---,---,---,---,58
---,---,---,---,---,---,---,---,---,---,59
3.9,4,4.2,4.1,4.1,3.9,3.7,3.5,3.4,3.4,60
4.4,4.4,4.6,4.5,4.4,4.2,4.1,3.9,3.6,3.6,61
4.6,4.6,4.7,4.7,4.5,4.5,4.2,4.1,3.8,3.9,62
4.7,4.7,4.8,4.8,4.6,4.6,4.4,---,3.9,4,63
---,4.8,4.9,4.9,4.7,---,4.5,4.2,4,---,64
4.8,4.9,5,5,4.8,4.7,---,4.3,4.1,4.1,65
4.9,5,5.1,5.1,---,4.8,---,---,4.2,4.2,66
---,5.1,---,---,4.9,4.9,4.6,4.4,4.3,4.3,67
5,---,5.2,5.2,5,5,4.7,4.5,4.4,4.4,68
5.1,5.2,---,---,5.1,5.1,4.8,---,4.5,4.5,69
---,---,5.3,5.3,---,5.1,---,4.6,---,---,70
5.2,5.3,5.4,5.4,---,---,4.9,---,4.6,4.6,71
5.3,5.4,5.5,---,5.2,5.2,---,4.7,4.8,4.7,72
---,---,---,5.5,5.3,---,5,4.8,---,4.8,73
5.4,5.5,5.6,5.6,---,5.3,---,---,---,---,74
5.5,5.6,---,---,5.4,---,5.1,4.9,4.9,4.9,75
5.6,5.7,5.7,5.7,5.5,5.4,---,---,---,---,76
---,---,5.8,---,---,5.5,---,5,5,5,77
5.7,---,---,5.8,5.6,---,5.2,---,---,---,78
---,5.8,5.9,---,---,5.6,---,5.1,---,---,79
5.8,5.9,6.1,5.9,5.7,5.7,5.3,---,5.1,5.1,80
5.9,6,6.2,6,---,---,5.4,---,---,---,81
---,---,---,6.1,5.8,---,---,5.2,---,---,82
6,6.1,6.3,6.2,5.9,5.8,5.5,5.3,---,5.2,83
---,6.2,6.4,---,6,5.9,---,---,5.2,---,84
6.1,6.3,---,6.3,---,---,5.6,5.4,---,---,85
6.2,6.4,6.5,---,6.1,6,5.7,---,---,5.3,86
6.3,6.5,6.6,6.4,6.2,6.1,5.8,5.5,5.3,---,87
6.4,6.6,6.7,6.5,6.3,6.2,---,---,---,5.4,88
---,6.7,6.8,6.7,---,6.3,5.9,5.6,5.4,---,89
6.5,6.8,6.9,6.8,6.4,6.4,6,5.7,5.5,5.5,90
6.6,6.9,7,6.9,6.6,6.5,6.1,5.8,5.6,5.6,91
6.8,7,7.1,7,---,6.6,---,5.9,5.7,5.7,92
6.9,7.1,7.2,7.1,6.7,6.7,---,6,5.8,5.8,93
7,7.2,7.3,7.3,6.8,6.8,6.2,6.1,5.9,5.9,94
7.2,7.4,7.5,7.4,7,6.9,6.4,6.2,6,6,95
7.3,7.5,7.7,7.6,7.2,7.1,6.5,6.3,6.1,6.1,96
7.5,7.7,8,7.8,7.3,7.2,6.8,6.5,6.2,6.2,97
7.7,7.9,8.2,8,7.5,7.4,7.1,6.6,6.3,6.3,98
8.2,8.4,8.5,8.4,8,7.9,7.6,7.1,6.4,6.4,99
8.4,8.5,8.7,8.6,8.2,8.1,7.8,7.4,6.6,6.6,100